n,RTT (us)
797,53
798,53
799,52
800,51
801,53
802,53
803,55
804,53
805,54
806,52
807,53
808,53
809,52
810,53
811,55
812,53
813,53
814,52
815,54
816,54
817,53
818,53
819,52
820,52
821,54
822,53
823,53
824,52
825,52
826,51
827,53
828,52
829,52
830,52
831,53
832,53
833,52
834,54
835,53
836,52
837,53
838,53
839,55
840,59
841,52
842,52
843,53
844,52
845,52
846,52
847,54
848,54
849,53
850,52
851,54
852,54
853,56
854,53
855,54
856,54
857,54
858,53
859,61
860,52
861,55
862,51
863,54
864,53
865,53
866,58
867,55
868,53
869,55
870,52
871,53
872,52
873,53
874,53
875,54
876,54
877,54
878,54
879,54
880,53
881,53
882,54
883,54
884,53
885,53
886,53
887,57
888,52
889,52
890,54
891,54
892,53
893,54
894,54
895,54
896,53
897,56
898,52
899,53
900,52
901,52
902,52
903,54
904,51
905,54
906,53
907,54
908,52
909,52
910,54
911,53
912,53
913,54
914,54
915,54
916,51
917,53
918,52
919,54
920,54
921,53
922,57
923,54
924,52
925,53
926,53
927,54
928,53
929,53
930,55
931,53
932,55
933,53
934,52
935,54
936,53
937,53
938,53
939,56
940,55
941,53
942,52
943,54
944,54
945,54
946,54
947,55
948,54
949,53
950,53
951,54
952,53
953,53
954,56
955,55
956,53
957,55
958,52
959,54
960,53
961,52
962,54
963,55
964,54
965,53
966,52
967,53
968,54
969,54
970,54
971,54
972,53
973,53
974,55
975,55
976,53
977,53
978,52
979,53
980,53
981,52
982,53
983,54
984,58
985,53
986,52
987,54
988,53
989,59
990,52
991,53
992,56
993,53
994,52
995,53
996,52
997,55
998,53
999,54
