n,RTT (us)
797,51
798,50
799,52
800,51
801,52
802,52
803,49
804,50
805,51
806,51
807,51
808,50
809,50
810,50
811,53
812,51
813,50
814,51
815,50
816,51
817,52
818,52
819,51
820,50
821,51
822,51
823,52
824,52
825,51
826,50
827,50
828,51
829,50
830,45
831,52
832,50
833,50
834,51
835,51
836,52
837,51
838,51
839,50
840,49
841,51
842,58
843,51
844,51
845,51
846,51
847,50
848,51
849,51
850,50
851,51
852,51
853,51
854,51
855,51
856,51
857,51
858,51
859,50
860,52
861,51
862,51
863,51
864,51
865,51
866,52
867,51
868,51
869,51
870,52
871,51
872,51
873,51
874,50
875,51
876,51
877,47
878,51
879,50
880,51
881,51
882,50
883,51
884,51
885,52
886,48
887,51
888,51
889,51
890,50
891,51
892,51
893,50
894,51
895,50
896,51
897,50
898,52
899,51
900,50
901,50
902,51
903,52
904,52
905,51
906,50
907,50
908,51
909,52
910,51
911,51
912,51
913,50
914,52
915,52
916,51
917,52
918,50
919,51
920,50
921,50
922,51
923,51
924,51
925,50
926,50
927,50
928,50
929,51
930,51
931,51
932,50
933,50
934,52
935,52
936,51
937,51
938,50
939,51
940,50
941,47
942,51
943,50
944,50
945,51
946,50
947,51
948,51
949,50
950,51
951,51
952,50
953,51
954,51
955,51
956,49
957,50
958,51
959,47
960,54
961,53
962,52
963,51
964,50
965,51
966,51
967,51
968,50
969,52
970,48
971,51
972,50
973,51
974,50
975,51
976,50
977,51
978,50
979,46
980,51
981,50
982,51
983,51
984,51
985,51
986,51
987,51
988,50
989,51
990,51
991,50
992,50
993,50
994,52
995,50
996,51
997,48
998,52
999,51
